row['acceleration_mean'], row['acceleration_stdev'], row['pitch1'],row['pitch2'],row['pitch3'],row['roll1'],row['roll2'],row['roll3'],row['sitting'],row['sittingdown'],row['standing'],row['standingup'],row['walking'],row['total_accel_sensor_1'],row['total_accel_sensor_2'],row['total_accel_sensor_4'
1,0,1,5,2,0,0,7,0,1,0,0,0,0,0,1
1,0,2,5,1,0,0,2,0,1,0,0,0,0,0,0
0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1
1,0,0,6,2,0,7,0,0,1,0,0,0,0,0,3
1,1,2,6,0,1,3,0,0,1,0,0,0,0,0,3
1,0,0,5,0,1,0,0,0,1,0,0,0,0,0,1
1,0,1,5,3,0,2,0,0,1,0,0,0,0,0,2
1,0,0,8,0,1,1,0,0,1,0,0,0,0,0,4
1,1,1,6,0,0,2,0,0,1,0,0,0,0,0,2
1,0,1,5,2,0,5,0,0,1,0,0,0,0,0,0
1,1,1,6,0,0,2,1,0,1,0,0,0,0,0,5
1,1,1,6,0,0,5,1,0,1,0,0,0,0,0,4
1,0,1,8,1,0,0,0,0,1,0,0,0,0,0,1
1,0,1,3,1,1,6,1,0,1,0,0,0,0,0,1
1,0,1,5,1,0,2,0,0,1,0,0,0,0,0,3
1,1,2,5,1,0,2,0,0,1,0,0,0,0,0,1
1,0,1,6,0,2,6,0,0,1,0,0,0,0,0,3
1,0,0,7,0,1,0,0,0,1,0,0,0,0,0,1
1,0,2,5,0,1,4,0,0,1,0,0,0,0,0,1
2,1,2,8,0,1,5,0,0,1,0,0,0,0,0,4
1,0,2,7,2,1,5,0,0,1,0,0,0,0,0,2
1,0,1,9,2,1,4,4,0,1,0,0,0,0,0,1
1,0,1,8,0,0,4,0,0,1,0,0,0,0,0,2
1,0,1,2,0,2,4,2,0,1,0,0,0,0,0,2
2,1,0,5,0,1,7,0,0,1,0,0,0,0,0,2
1,0,3,9,2,0,6,0,0,1,0,0,0,0,0,1
1,0,1,2,0,1,3,0,0,1,0,0,0,0,0,1
1,0,2,2,0,0,3,0,0,1,0,0,0,0,0,1
2,0,1,6,1,3,6,0,0,1,0,0,0,0,0,5
1,0,1,3,0,1,0,0,0,1,0,0,0,0,0,4
1,1,0,6,1,1,6,0,0,1,0,0,0,0,0,0
1,0,3,8,1,1,5,0,0,1,0,0,0,0,0,6
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4
2,1,1,7,1,2,8,0,0,1,0,0,0,0,0,5
1,0,3,4,1,1,6,0,0,1,0,0,0,0,0,2
1,0,0,1,2,1,0,0,0,1,0,0,0,0,0,1
1,1,0,7,1,0,8,0,0,1,0,0,0,0,0,1
1,0,0,5,0,1,6,0,0,1,0,0,0,0,0,2
1,0,0,4,0,1,0,0,0,1,0,0,0,0,0,1
2,1,0,6,4,1,7,2,0,1,0,0,0,0,0,0
1,0,1,6,3,1,6,1,0,1,0,0,0,0,0,1
1,0,1,5,1,0,3,0,0,1,0,0,0,0,0,1
1,0,2,4,1,1,5,0,0,1,0,0,0,0,0,3
1,0,3,7,1,1,7,0,0,1,0,0,0,0,0,2
2,1,2,4,2,0,6,0,0,1,0,0,0,0,0,2
1,0,1,7,1,1,6,0,0,1,0,0,0,0,0,3
1,1,0,0,1,0,6,0,0,1,0,0,0,0,0,0
0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0
1,0,7,3,1,1,6,0,0,1,0,0,0,0,0,2
1,1,2,6,0,1,4,0,0,1,0,0,0,0,0,1
1,0,5,6,1,1,6,0,0,1,0,0,0,0,0,2
1,0,0,4,0,2,0,0,0,1,0,0,0,0,0,4
2,1,3,3,0,0,4,0,0,1,0,0,0,0,0,1
2,0,1,4,0,1,3,0,0,1,0,0,0,0,0,6
1,0,0,6,0,1,0,0,0,1,0,0,0,0,0,2
1,1,3,4,0,0,7,0,0,1,0,0,0,0,0,0
1,0,5,7,0,2,5,0,0,1,0,0,0,0,0,5
0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,1
1,0,2,2,1,3,6,0,0,1,0,0,0,0,0,4
1,0,2,2,0,1,2,0,0,1,0,0,0,0,0,1
2,1,1,1,0,0,8,0,0,1,0,0,0,0,0,1
1,0,1,4,2,0,1,0,0,1,0,0,0,0,0,3
1,0,0,4,2,1,3,0,0,1,0,0,0,0,0,2
1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
1,1,3,4,0,0,7,0,0,1,0,0,0,0,0,0
1,0,1,2,0,2,6,0,0,1,0,0,0,0,0,3
1,0,3,4,0,0,6,0,0,1,0,0,0,0,0,2
1,0,3,6,0,2,4,0,0,1,0,0,0,0,0,3
1,1,2,3,0,1,6,0,0,1,0,0,0,0,0,1
1,0,4,8,0,1,5,0,0,1,0,0,0,0,0,3
1,0,3,3,1,2,5,0,0,1,0,0,0,0,0,4
1,0,2,4,0,1,5,0,0,1,0,0,0,0,0,2
1,0,0,2,0,2,0,0,0,1,0,0,0,0,0,3
1,1,1,5,0,1,6,0,0,1,0,0,0,0,0,1
1,0,0,4,0,1,4,0,0,1,0,0,0,0,0,5
1,0,0,8,0,1,6,0,0,1,0,0,0,0,0,7
1,0,0,3,0,3,0,0,0,1,0,0,0,0,0,2
2,1,0,1,0,2,7,0,0,1,0,0,0,0,0,5
1,0,0,5,0,1,4,0,0,1,0,0,0,0,0,5
1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,4
2,1,1,4,0,0,5,0,0,1,0,0,0,0,0,4
