acceleration_mean,acceleration_stdev,pitch1,pitch2,pitch3,roll1,roll2,roll3,sitting,sittingdown,standing,standingup,walking,total_accel_sensor_1,total_accel_sensor_2,total_accel_sensor_4
29,17,35,24,24,5,18,10,1,0,0,0,20,16,58,0
27,27,37,53,10,18,13,10,1,0,0,0,8,40,24,0
27,22,19,21,13,34,25,24,1,0,0,0,53,19,24,0
49,48,17,44,79,20,23,73,1,0,0,0,23,20,67,0
43,41,17,28,59,28,32,59,1,0,0,0,11,30,51,0
26,32,20,27,16,20,18,11,1,0,0,0,9,11,70,0
12,14,17,29,28,14,41,34,1,0,0,0,25,20,7,0
41,20,49,18,41,32,19,4,1,0,0,0,34,28,49,0
20,36,10,27,27,21,50,13,1,0,0,0,35,27,11,0
9,9,25,23,1,43,35,31,1,0,0,0,10,17,15,0
50,50,28,21,50,17,14,50,1,0,0,0,31,26,36,0
48,37,18,40,77,32,84,72,1,0,0,0,19,34,59,0
42,12,14,28,21,16,10,27,1,0,0,0,30,25,43,0
52,99,98,13,83,60,37,39,1,0,0,0,99,9,56,0
19,16,39,12,21,26,21,14,1,0,0,0,31,16,36,0
24,34,39,14,52,24,18,34,1,0,0,0,16,51,26,0
12,7,31,23,41,21,32,16,1,0,0,0,14,19,17,0
26,32,77,58,63,47,20,44,1,0,0,0,41,26,32,0
24,18,49,41,24,56,16,24,1,0,0,0,45,31,12,0
27,20,53,31,80,26,10,49,1,0,0,0,31,38,15,0
33,32,27,44,61,32,44,64,1,0,0,0,32,15,52,0
15,28,31,52,42,6,31,35,1,0,0,0,32,26,1,0
26,20,22,25,32,12,42,77,1,0,0,0,20,20,39,0
37,36,53,20,20,52,32,17,1,0,0,0,28,29,12,0
53,30,23,56,44,70,49,47,1,0,0,0,64,65,30,0
60,56,31,27,17,42,42,14,1,0,0,0,46,58,20,0
47,55,47,64,69,41,58,42,1,0,0,0,29,48,65,0
21,58,51,38,62,44,12,11,1,0,0,0,8,13,12,0
50,52,14,35,57,29,32,91,1,0,0,0,33,51,18,0
15,26,32,17,68,29,24,30,1,0,0,0,10,30,28,0
37,41,23,12,50,35,44,50,1,0,0,0,14,34,58,0
31,29,16,13,18,46,15,9,1,0,0,0,36,9,54,0
29,24,32,28,23,33,29,9,1,0,0,0,20,25,43,0
39,35,50,40,48,33,31,64,1,0,0,0,24,26,57,0
41,40,19,11,61,42,70,39,1,0,0,0,45,19,29,0
39,11,26,2,15,11,9,35,1,0,0,0,30,33,48,0
31,20,36,26,43,9,22,42,1,0,0,0,33,22,42,0
28,32,47,5,21,66,15,39,1,0,0,0,42,18,13,0
11,28,47,58,15,21,33,24,1,0,0,0,18,0,21,0
15,13,15,20,29,9,21,21,1,0,0,0,18,15,15,0
24,31,14,36,14,38,32,30,1,0,0,0,39,47,13,0
35,9,22,59,67,25,19,99,1,0,0,0,32,38,33,0
46,23,39,17,48,66,50,49,1,0,0,0,31,44,49,0
17,17,30,26,25,12,24,40,1,0,0,0,20,17,13,0
28,8,30,16,42,14,15,24,1,0,0,0,23,27,28,0
45,48,51,55,66,15,49,66,1,0,0,0,40,14,41,0
16,41,23,12,24,22,32,33,1,0,0,0,6,14,13,0
39,29,46,23,15,55,46,31,1,0,0,0,47,44,48,0
65,87,20,26,21,7,99,19,1,0,0,0,7,52,25,0
31,57,30,24,33,30,27,12,1,0,0,0,14,56,40,0
15,10,7,13,59,6,19,33,1,0,0,0,21,12,24,0
34,15,54,19,23,11,39,33,1,0,0,0,29,31,39,0
54,58,44,12,56,35,13,91,1,0,0,0,30,18,67,0
